label,penaltyCost,pickupArrivalWaypoint,pickupDuration,pickupCost,pickupStartTime,pickupSoftStartTime,pickupEndTime,pickupSoftEndTime,pickupCostPerHourBeforeSoftStartTime,pickupCostPerHourAfterSoftStartTime,pickupCostPerHourAfterSoftEndTime,deliveryArrivalWaypoint,deliveryDuration,deliveryCost,deliveryStartTime,deliverySoftStartTime,deliveryEndTime,deliverySoftEndTime,deliveryCostPerHourBeforeSoftStartTime,deliveryCostPerHourAfterSoftEndTime,loadDemand1Type,loadDemand1Value,loadDemand2Type,loadDemand2Value,loadDemand3Type,loadDemand3Value,loadDemand4Type,loadDemand4Value,allowedVehicleIndices
Order - 1,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.50899079, 26.09230269",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 2,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.47939118, 26.09289582",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 3,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.51264632, 26.08938639",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 4,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.51147963, 26.09247992",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 5,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.36358424, 26.01640757",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 6,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.50837969, 26.09029727",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,4,,,,,,,
Order - 7,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.36214036, 26.0109314",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 8,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.47831331, 26.09316683",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,3,,,,,,,
Order - 9,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.38881736, 26.20949183",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 10,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.47731177, 26.09476088",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 11,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.35936321, 26.01263666",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 12,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.47820938, 26.09149137",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,7,,,,,,,
Order - 13,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.3919452, 26.20931229",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,8,,,,,,,
Order - 14,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.36273388, 26.01367657",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,4,,,,,,,
Order - 15,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.51149787, 26.09116189",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 16,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.36282508, 26.01563445",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 17,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.51125948, 26.08912948",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 18,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.36219065, 26.01094962",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,8,,,,,,,
Order - 19,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.39198589, 26.21052198",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 20,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.4812004, 26.09688268",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,2,,,,,,,
