label,penaltyCost,pickupArrivalWaypoint,pickupDuration,pickupCost,pickupStartTime,pickupSoftStartTime,pickupEndTime,pickupSoftEndTime,pickupCostPerHourBeforeSoftStartTime,pickupCostPerHourAfterSoftStartTime,pickupCostPerHourAfterSoftEndTime,deliveryArrivalWaypoint,deliveryDuration,deliveryCost,deliveryStartTime,deliverySoftStartTime,deliveryEndTime,deliverySoftEndTime,deliveryCostPerHourBeforeSoftStartTime,deliveryCostPerHourAfterSoftEndTime,loadDemand1Type,loadDemand1Value,loadDemand2Type,loadDemand2Value,loadDemand3Type,loadDemand3Value,loadDemand4Type,loadDemand4Value,allowedVehicleIndices
Order - 1,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.46397032, 26.2109522",600,,2026-02-17T06:00:00.000Z,2026-02-17T06:00:00.000Z,2026-02-17T07:00:00.000Z,2026-02-17T07:00:00.000Z,1000,1000,pallets,3,,,,,,,
Order - 2,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.38912284, 26.15934701",600,,2026-02-17T16:00:00.000Z,2026-02-17T16:00:00.000Z,2026-02-17T17:00:00.000Z,2026-02-17T17:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 3,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.46996027, 26.03232735",600,,2026-02-17T07:00:00.000Z,2026-02-17T07:00:00.000Z,2026-02-17T08:00:00.000Z,2026-02-17T08:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 4,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.3494571, 26.15328232",600,,2026-02-17T13:00:00.000Z,2026-02-17T13:00:00.000Z,2026-02-17T14:00:00.000Z,2026-02-17T14:00:00.000Z,1000,1000,pallets,6,,,,,,,
Order - 5,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.41135767, 26.06266627",600,,2026-02-17T08:00:00.000Z,2026-02-17T08:00:00.000Z,2026-02-17T09:00:00.000Z,2026-02-17T09:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 6,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.36479088, 25.98836539",600,,2026-02-17T08:00:00.000Z,2026-02-17T08:00:00.000Z,2026-02-17T09:00:00.000Z,2026-02-17T09:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 7,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.51224124, 26.03905",600,,2026-02-17T06:00:00.000Z,2026-02-17T06:00:00.000Z,2026-02-17T07:00:00.000Z,2026-02-17T07:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 8,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.43717837, 26.05121969",600,,2026-02-17T08:00:00.000Z,2026-02-17T08:00:00.000Z,2026-02-17T09:00:00.000Z,2026-02-17T09:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 9,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.37804139, 26.02593645",600,,2026-02-17T20:00:00.000Z,2026-02-17T20:00:00.000Z,2026-02-17T21:00:00.000Z,2026-02-17T21:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 10,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.47831734, 26.14580683",600,,2026-02-17T06:00:00.000Z,2026-02-17T06:00:00.000Z,2026-02-17T07:00:00.000Z,2026-02-17T07:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 11,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.43243678, 26.07733918",600,,2026-02-17T14:00:00.000Z,2026-02-17T14:00:00.000Z,2026-02-17T15:00:00.000Z,2026-02-17T15:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 12,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.419433, 26.00623954",600,,2026-02-17T10:00:00.000Z,2026-02-17T10:00:00.000Z,2026-02-17T11:00:00.000Z,2026-02-17T11:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 13,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.41322024, 26.00494215",600,,2026-02-17T14:00:00.000Z,2026-02-17T14:00:00.000Z,2026-02-17T15:00:00.000Z,2026-02-17T15:00:00.000Z,1000,1000,pallets,3,,,,,,,
Order - 14,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.50157139, 26.202315",600,,2026-02-17T19:00:00.000Z,2026-02-17T19:00:00.000Z,2026-02-17T20:00:00.000Z,2026-02-17T20:00:00.000Z,1000,1000,pallets,6,,,,,,,
Order - 15,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.371446, 26.20178025",600,,2026-02-17T06:00:00.000Z,2026-02-17T06:00:00.000Z,2026-02-17T07:00:00.000Z,2026-02-17T07:00:00.000Z,1000,1000,pallets,6,,,,,,,
Order - 16,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.42184344, 26.13324913",600,,2026-02-17T07:00:00.000Z,2026-02-17T07:00:00.000Z,2026-02-17T08:00:00.000Z,2026-02-17T08:00:00.000Z,1000,1000,pallets,7,,,,,,,
Order - 17,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.34830598, 26.04259296",600,,2026-02-17T14:00:00.000Z,2026-02-17T14:00:00.000Z,2026-02-17T15:00:00.000Z,2026-02-17T15:00:00.000Z,1000,1000,pallets,3,,,,,,,
