label,penaltyCost,pickupArrivalWaypoint,pickupDuration,pickupCost,pickupStartTime,pickupSoftStartTime,pickupEndTime,pickupSoftEndTime,pickupCostPerHourBeforeSoftStartTime,pickupCostPerHourAfterSoftStartTime,pickupCostPerHourAfterSoftEndTime,deliveryArrivalWaypoint,deliveryDuration,deliveryCost,deliveryStartTime,deliverySoftStartTime,deliveryEndTime,deliverySoftEndTime,deliveryCostPerHourBeforeSoftStartTime,deliveryCostPerHourAfterSoftEndTime,loadDemand1Type,loadDemand1Value,loadDemand2Type,loadDemand2Value,loadDemand3Type,loadDemand3Value,loadDemand4Type,loadDemand4Value,allowedVehicleIndices
Order - 1,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.43937864006537, 26.115917578373114",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,7,,,,,,,
Order - 2,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.41466187779653, 26.190174809741023",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,3,,,,,,,
Order - 3,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.512420875740474, 26.01653893943225",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 4,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.46142707163679, 26.19988915025212",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 5,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.46832593874518, 26.033415599746263",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 6,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.410380599817785, 26.064710260640283",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,4,,,,,,,
Order - 7,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.47700430817966, 26.036867151218246",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,3,,,,,,,
Order - 8,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.38234880605137, 26.198699481618604",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,7,,,,,,,
Order - 9,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.46515983304934, 26.111314643368473",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,4,,,,,,,
Order - 10,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.418684948415006, 26.119326218255964",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,10,,,,,,,
