label,penaltyCost,pickupArrivalWaypoint,pickupDuration,pickupCost,pickupStartTime,pickupSoftStartTime,pickupEndTime,pickupSoftEndTime,pickupCostPerHourBeforeSoftStartTime,pickupCostPerHourAfterSoftStartTime,pickupCostPerHourAfterSoftEndTime,deliveryArrivalWaypoint,deliveryDuration,deliveryCost,deliveryStartTime,deliverySoftStartTime,deliveryEndTime,deliverySoftEndTime,deliveryCostPerHourBeforeSoftStartTime,deliveryCostPerHourAfterSoftEndTime,loadDemand1Type,loadDemand1Value,loadDemand2Type,loadDemand2Value,loadDemand3Type,loadDemand3Value,loadDemand4Type,loadDemand4Value,allowedVehicleIndices
Order - 1,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.41613704, 26.0449975",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,3,,,,,,,
Order - 2,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.47241826, 26.19087974",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 3,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.36510143, 26.06359175",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 4,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.48565668, 26.04829886",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,3,,,,,,,
Order - 5,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.42945799, 26.03155121",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 6,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.42076376, 26.13647237",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 7,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.39833219, 26.1040032",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 8,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.46003236, 26.17666393",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 9,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.3620382, 25.98146992",600,,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T15:00:00.000Z,2026-03-06T15:00:00.000Z,1000,1000,pallets,4,,,,,,,
Order - 10,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.46823589, 26.02972147",600,,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T14:00:00.000Z,2026-03-06T14:00:00.000Z,1000,1000,pallets,6,,,,,,,
