label,penaltyCost,pickupArrivalWaypoint,pickupDuration,pickupCost,pickupStartTime,pickupSoftStartTime,pickupEndTime,pickupSoftEndTime,pickupCostPerHourBeforeSoftStartTime,pickupCostPerHourAfterSoftStartTime,pickupCostPerHourAfterSoftEndTime,deliveryArrivalWaypoint,deliveryDuration,deliveryCost,deliveryStartTime,deliverySoftStartTime,deliveryEndTime,deliverySoftEndTime,deliveryCostPerHourBeforeSoftStartTime,deliveryCostPerHourAfterSoftEndTime,loadDemand1Type,loadDemand1Value,loadDemand2Type,loadDemand2Value,loadDemand3Type,loadDemand3Value,loadDemand4Type,loadDemand4Value,allowedVehicleIndices
Order - 1,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.40873596, 26.09132964",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,6,,,,,,,
Order - 2,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.43261893, 26.18795316",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 3,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.44757406, 26.0259297",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,4,,,,,,,
Order - 4,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.52537879, 26.1698208",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 5,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.43150443, 26.02730645",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,6,,,,,,,
Order - 6,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.45759637, 26.17862429",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 7,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.50133859, 26.01398551",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,8,,,,,,,
Order - 8,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.42430896, 26.19634036",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,3,,,,,,,
Order - 9,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.40913109, 26.17127803",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 10,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.44838744, 26.02508622",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 11,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.39917195, 26.08894991",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,3,,,,,,,
Order - 12,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.36716209, 25.98635606",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 13,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.53073171, 26.08673728",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 14,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.35101966, 26.13495159",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 15,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.4560432, 26.03220196",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,3,,,,,,,
Order - 16,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.45187149, 26.0684763",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,8,,,,,,,
Order - 17,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.44174288, 26.20943375",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,4,,,,,,,
Order - 18,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.52738954, 26.14745113",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,7,,,,,,,
Order - 19,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.4037075, 26.0456703",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 20,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.41839839, 26.06421513",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,4,,,,,,,
Order - 21,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.41842356, 26.18080301",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,8,,,,,,,
Order - 22,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.4153715, 26.16103743",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 23,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.4050599, 26.15861551",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 24,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.39817551, 26.11365626",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 25,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.35528658, 26.11350077",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,7,,,,,,,
Order - 26,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.36586318, 26.08585938",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,4,,,,,,,
Order - 27,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.35414347, 26.12073799",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 28,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.43989312, 26.20947521",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 29,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.37045825, 26.06289389",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 30,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.42848449, 26.16898326",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 31,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.40203399, 26.06724098",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,4,,,,,,,
Order - 32,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.53324482, 26.05420114",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,2,,,,,,,
Order - 33,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.49245912, 26.14222306",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 34,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.3901401, 26.05243763",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,8,,,,,,,
Order - 35,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.36162615, 26.1056748",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 36,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.37053789, 26.1485023",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 37,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.33267866, 25.98786743",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,6,,,,,,,
Order - 38,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.39246313, 26.13875271",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,9,,,,,,,
Order - 39,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.43443391, 26.19062024",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,3,,,,,,,
Order - 40,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.4233131, 26.18668903",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 41,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.41003091, 26.01568371",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 42,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.49361953, 25.99509403",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 43,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.36583674, 25.98633806",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 44,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.38881152, 26.09411866",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,8,,,,,,,
Order - 45,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.49292784, 26.12062877",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,3,,,,,,,
Order - 46,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.44188081, 26.17893825",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,8,,,,,,,
Order - 47,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.36194663, 26.07751429",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,7,,,,,,,
Order - 48,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.4972522, 26.11995834",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,6,,,,,,,
Order - 49,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.3504547, 26.13963649",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,10,,,,,,,
Order - 50,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.45509101, 26.19846972",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,8,,,,,,,
Order - 51,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.40277386, 26.10226787",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 52,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.43657395, 26.14786858",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 53,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.41093551, 26.10236134",600,,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T13:00:00.000Z,2026-03-06T13:00:00.000Z,1000,1000,pallets,5,,,,,,,
Order - 54,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.3638667, 26.12558423",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,1,,,,,,,
Order - 55,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.41738881, 26.08990898",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,7,,,,,,,
Order - 56,200,"44.5279615, 26.1798147",0,,,,,,,,,"44.5184756, 26.15389948",600,,2026-03-06T11:00:00.000Z,2026-03-06T11:00:00.000Z,2026-03-06T12:00:00.000Z,2026-03-06T12:00:00.000Z,1000,1000,pallets,9,,,,,,,
